               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.044392,            0.035848,            0.004472,             0.92449,             0.97836,             0.98468,             0.61188,            0.024063,            0.013459,          0.00099999,             0.07008,           0.0033244,           0.0033244
                   1,            0.028407,            0.023876,           0.0012671,             0.99168,             0.99717,             0.99264,             0.77457,            0.022717,            0.012667,          0.00095043,            0.040014,           0.0065918,           0.0065918
                   2,            0.025022,            0.022239,           0.0011255,             0.99708,             0.99818,             0.99218,             0.87373,            0.013539,            0.010935,          0.00080386,           0.0098824,           0.0097933,           0.0097933
                   3,            0.020101,            0.020812,          0.00088319,             0.99706,             0.99818,             0.99268,             0.92446,           0.0084395,           0.0086402,          0.00062997,            0.009703,            0.009703,            0.009703
                   4,            0.016505,            0.019094,          0.00068369,             0.99727,             0.99836,             0.99282,             0.91614,           0.0096666,           0.0093108,          0.00048302,            0.009703,            0.009703,            0.009703
                   5,            0.013885,            0.017615,           0.0005526,             0.99708,             0.99818,             0.99223,             0.92755,            0.007847,           0.0083441,           0.0004163,            0.009604,            0.009604,            0.009604
                   6,             0.01329,            0.017069,          0.00048354,             0.99708,             0.99818,             0.99273,             0.95393,           0.0067771,           0.0076532,          0.00037068,            0.009505,            0.009505,            0.009505
                   7,            0.011912,            0.016303,          0.00041452,             0.99708,             0.99818,              0.9931,             0.96799,             0.00602,           0.0074635,          0.00037162,            0.009406,            0.009406,            0.009406
                   8,             0.01143,            0.015843,          0.00039046,             0.99708,             0.99818,              0.9929,             0.97337,           0.0058688,           0.0070728,          0.00032624,            0.009307,            0.009307,            0.009307
                   9,            0.010983,            0.015742,          0.00035836,             0.99708,             0.99818,             0.99249,             0.96737,           0.0056986,           0.0070419,          0.00028722,            0.009208,            0.009208,            0.009208
                  10,            0.010517,            0.015143,          0.00033163,             0.99708,             0.99818,             0.99231,             0.97329,           0.0055782,           0.0068234,          0.00025362,            0.009109,            0.009109,            0.009109
                  11,            0.010068,            0.014904,          0.00030459,             0.99708,             0.99818,             0.99241,              0.9763,            0.005067,            0.006406,          0.00025859,             0.00901,             0.00901,             0.00901
                  12,           0.0097408,             0.01448,          0.00029588,             0.99708,             0.99818,             0.99254,              0.9759,           0.0051131,           0.0066302,            0.000248,            0.008911,            0.008911,            0.008911
                  13,           0.0092959,            0.014259,          0.00027453,             0.99708,             0.99818,             0.99293,             0.97893,           0.0050502,             0.00631,          0.00023567,            0.008812,            0.008812,            0.008812
                  14,           0.0090022,            0.014011,          0.00025218,             0.99708,             0.99818,             0.99255,             0.97705,           0.0051501,           0.0064699,          0.00021593,            0.008713,            0.008713,            0.008713
                  15,           0.0091781,            0.014236,          0.00025205,             0.99708,             0.99818,             0.99271,             0.97761,           0.0050074,           0.0063481,          0.00022197,            0.008614,            0.008614,            0.008614
                  16,           0.0088742,            0.013964,          0.00024016,             0.99708,             0.99818,             0.99228,             0.97841,           0.0050355,           0.0062787,          0.00020526,            0.008515,            0.008515,            0.008515
                  17,           0.0087963,            0.013878,          0.00023646,             0.99708,             0.99818,             0.99278,             0.97877,           0.0048308,           0.0065632,          0.00019811,            0.008416,            0.008416,            0.008416
                  18,           0.0086603,            0.013701,          0.00022533,             0.99708,             0.99818,             0.99236,             0.98178,            0.004666,           0.0062187,          0.00020111,            0.008317,            0.008317,            0.008317
                  19,           0.0083205,            0.013373,          0.00021359,             0.99708,             0.99818,             0.99251,             0.98024,           0.0047073,            0.006255,          0.00018998,            0.008218,            0.008218,            0.008218
                  20,           0.0082418,            0.013325,          0.00020818,             0.99708,             0.99818,             0.99254,             0.98269,           0.0045582,           0.0059912,          0.00019341,            0.008119,            0.008119,            0.008119
                  21,           0.0081621,            0.013285,          0.00020508,             0.99708,             0.99818,             0.99276,             0.97765,           0.0048693,           0.0062411,          0.00018451,             0.00802,             0.00802,             0.00802
                  22,           0.0081223,            0.013249,          0.00019896,             0.99708,             0.99818,             0.99244,             0.98353,           0.0044839,           0.0059407,          0.00017666,            0.007921,            0.007921,            0.007921
                  23,           0.0079828,            0.013287,          0.00019315,             0.99708,             0.99818,             0.99253,             0.98401,           0.0044861,           0.0059096,          0.00018455,            0.007822,            0.007822,            0.007822
                  24,           0.0079179,            0.013141,          0.00019044,             0.99708,             0.99818,             0.99265,             0.98289,           0.0046166,           0.0059149,          0.00018165,            0.007723,            0.007723,            0.007723
                  25,           0.0076855,            0.012968,          0.00018305,             0.99708,             0.99818,             0.99269,             0.98515,           0.0044372,           0.0058772,          0.00016815,            0.007624,            0.007624,            0.007624
                  26,           0.0075421,            0.012778,          0.00017635,             0.99708,             0.99818,             0.99257,             0.98541,           0.0043249,           0.0058058,          0.00017249,            0.007525,            0.007525,            0.007525
                  27,           0.0074893,            0.012731,          0.00017302,             0.99708,             0.99818,             0.99286,             0.98497,           0.0044669,           0.0058222,          0.00016858,            0.007426,            0.007426,            0.007426
                  28,           0.0073989,             0.01266,          0.00017297,             0.99708,             0.99818,             0.99265,             0.98495,           0.0043862,           0.0057144,          0.00014689,            0.007327,            0.007327,            0.007327
                  29,           0.0073776,             0.01262,           0.0001675,             0.99708,             0.99818,             0.99241,              0.9856,           0.0043297,           0.0057358,          0.00015435,            0.007228,            0.007228,            0.007228
                  30,           0.0071651,            0.012577,           0.0001598,             0.99708,             0.99818,             0.99234,             0.98362,           0.0043362,           0.0057752,           0.0001657,            0.007129,            0.007129,            0.007129
                  31,           0.0072307,            0.012261,          0.00016026,             0.99708,             0.99818,             0.99246,             0.98593,           0.0043173,           0.0056704,          0.00016742,             0.00703,             0.00703,             0.00703
                  32,           0.0071231,             0.01221,           0.0001559,             0.99708,             0.99818,             0.99288,             0.98661,           0.0042208,           0.0056712,          0.00016514,            0.006931,            0.006931,            0.006931
                  33,           0.0070676,            0.012277,          0.00015187,             0.99708,             0.99818,             0.99269,             0.98652,            0.004145,           0.0056784,          0.00015985,            0.006832,            0.006832,            0.006832
                  34,           0.0069386,            0.012172,           0.0001491,             0.99708,             0.99818,             0.99257,             0.98748,           0.0041504,           0.0055737,          0.00014358,            0.006733,            0.006733,            0.006733
                  35,           0.0070067,             0.01219,          0.00014869,             0.99708,             0.99818,             0.99284,             0.98714,           0.0041369,           0.0055897,          0.00013801,            0.006634,            0.006634,            0.006634
                  36,           0.0068277,            0.012112,          0.00014429,             0.99708,             0.99818,             0.99244,             0.98645,            0.004057,            0.005567,          0.00013551,            0.006535,            0.006535,            0.006535
                  37,           0.0067718,            0.012042,          0.00014091,             0.99708,             0.99818,             0.99261,             0.98743,           0.0040778,           0.0055416,          0.00014694,            0.006436,            0.006436,            0.006436
                  38,           0.0066044,            0.011987,          0.00013722,             0.99708,             0.99818,             0.99254,             0.98744,           0.0041284,           0.0055706,           0.0001399,            0.006337,            0.006337,            0.006337
                  39,           0.0065879,            0.011837,          0.00013394,             0.99708,             0.99818,             0.99268,             0.98811,           0.0040707,           0.0055242,          0.00013498,            0.006238,            0.006238,            0.006238
                  40,           0.0065298,            0.011927,          0.00013176,             0.99708,             0.99818,             0.99254,              0.9881,           0.0041007,           0.0056007,          0.00014389,            0.006139,            0.006139,            0.006139
                  41,           0.0065437,            0.011846,          0.00013056,             0.99708,             0.99818,             0.99253,               0.988,           0.0040646,           0.0055224,          0.00013767,             0.00604,             0.00604,             0.00604
                  42,            0.006535,             0.01172,           0.0001294,             0.99708,             0.99818,             0.99282,             0.98836,           0.0040197,           0.0054336,            0.000147,            0.005941,            0.005941,            0.005941
                  43,           0.0062953,            0.011452,           0.0001244,             0.99708,             0.99818,             0.99254,             0.98811,            0.004031,           0.0055224,          0.00013974,            0.005842,            0.005842,            0.005842
                  44,           0.0063619,            0.011494,          0.00012262,             0.99708,             0.99818,             0.99262,             0.98853,           0.0040044,           0.0054763,          0.00014917,            0.005743,            0.005743,            0.005743
                  45,           0.0063175,            0.011539,          0.00012366,             0.99708,             0.99818,             0.99244,             0.98811,           0.0039907,           0.0054378,          0.00013889,            0.005644,            0.005644,            0.005644
                  46,           0.0062293,            0.011463,          0.00012096,             0.99708,             0.99818,             0.99266,             0.98752,           0.0039872,           0.0054071,          0.00013136,            0.005545,            0.005545,            0.005545
                  47,           0.0061911,            0.011427,          0.00011726,             0.99708,             0.99818,             0.99274,             0.98856,           0.0039756,           0.0053962,          0.00013111,            0.005446,            0.005446,            0.005446
