               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.038532,            0.035405,             0.10912,            0.024959,             0.73888,            0.066101,            0.051607,            0.018386,            0.012812,            0.099877,             0.07004,           0.0033289,           0.0033289
                   1,            0.027536,            0.023566,            0.098877,             0.54927,             0.15424,             0.18697,             0.15337,            0.017103,             0.01137,            0.088051,            0.039974,           0.0065963,           0.0065963
                   2,            0.029032,            0.022867,             0.07119,             0.89268,             0.40082,             0.57601,             0.44084,            0.016273,            0.011442,            0.061648,           0.0098422,           0.0097976,           0.0097976
                   3,            0.027526,            0.022258,            0.038061,             0.94583,             0.68821,              0.8717,              0.7574,            0.012972,            0.010469,             0.03216,            0.009703,            0.009703,            0.009703
                   4,            0.024344,            0.021188,            0.024072,             0.88549,             0.84979,             0.90348,             0.80202,              0.0121,            0.010382,            0.019134,            0.009703,            0.009703,            0.009703
                   5,            0.022278,            0.020155,              0.0187,             0.96007,             0.90564,             0.97364,             0.86867,            0.012999,           0.0097644,            0.011795,            0.009604,            0.009604,            0.009604
                   6,            0.020946,            0.019717,            0.015826,             0.90708,             0.95291,             0.96889,             0.85755,            0.012204,           0.0099554,             0.01125,            0.009505,            0.009505,            0.009505
                   7,             0.02001,             0.01933,            0.013767,             0.96113,             0.97208,             0.98903,             0.90856,            0.010827,           0.0092669,           0.0082139,            0.009406,            0.009406,            0.009406
                   8,             0.01904,            0.018848,            0.012321,             0.97706,              0.9847,             0.98955,             0.92427,            0.012031,           0.0091723,           0.0063508,            0.009307,            0.009307,            0.009307
                   9,            0.018643,            0.018824,            0.011426,             0.98823,             0.99169,             0.99219,             0.92354,            0.010074,           0.0091937,           0.0049127,            0.009208,            0.009208,            0.009208
                  10,            0.017896,            0.018244,            0.010691,             0.96926,             0.97494,             0.98337,             0.91687,           0.0096796,           0.0087405,           0.0063387,            0.009109,            0.009109,            0.009109
                  11,            0.017363,             0.01812,            0.010035,             0.98849,             0.98995,             0.99183,             0.93944,           0.0089416,           0.0085272,            0.004058,             0.00901,             0.00901,             0.00901
                  12,             0.01688,            0.017585,           0.0095427,             0.98996,             0.99499,             0.99218,             0.94465,           0.0084262,           0.0083854,           0.0038405,            0.008911,            0.008911,            0.008911
                  13,            0.016279,             0.01736,           0.0090163,             0.98816,             0.98979,             0.99189,             0.94627,           0.0080591,           0.0083113,           0.0039631,            0.008812,            0.008812,            0.008812
                  14,            0.016301,            0.017329,           0.0085487,             0.99141,             0.99226,             0.99232,               0.956,           0.0078179,            0.008163,           0.0031961,            0.008713,            0.008713,            0.008713
                  15,            0.015871,            0.017342,           0.0083013,             0.99156,             0.98929,             0.99195,             0.95321,           0.0073732,           0.0080109,           0.0037704,            0.008614,            0.008614,            0.008614
                  16,            0.015384,            0.017059,           0.0078725,             0.99287,             0.98739,             0.99204,             0.94889,           0.0075917,           0.0079958,           0.0035258,            0.008515,            0.008515,            0.008515
                  17,            0.015176,            0.016852,           0.0075268,             0.99254,             0.99477,              0.9924,             0.96495,           0.0065314,           0.0076977,           0.0027344,            0.008416,            0.008416,            0.008416
                  18,            0.014664,            0.016501,           0.0072407,             0.99318,              0.9957,             0.99305,             0.96955,           0.0067717,           0.0075425,           0.0025357,            0.008317,            0.008317,            0.008317
                  19,            0.014791,            0.016441,           0.0071831,             0.99291,             0.99324,             0.99263,             0.96659,           0.0065086,           0.0075804,           0.0027567,            0.008218,            0.008218,            0.008218
                  20,            0.014252,            0.016255,           0.0068629,             0.99233,             0.99644,               0.993,              0.9744,           0.0060783,           0.0071342,           0.0022834,            0.008119,            0.008119,            0.008119
                  21,            0.014069,            0.016083,           0.0068278,             0.99357,             0.99366,             0.99225,             0.97487,           0.0056834,           0.0071549,           0.0027721,             0.00802,             0.00802,             0.00802
                  22,            0.014123,            0.016177,           0.0068806,              0.9942,             0.99621,             0.99266,             0.96928,           0.0059065,           0.0073091,           0.0021236,            0.007921,            0.007921,            0.007921
                  23,             0.01379,            0.016144,           0.0066353,             0.99368,             0.99645,             0.99235,             0.97334,           0.0058895,            0.007164,           0.0021794,            0.007822,            0.007822,            0.007822
                  24,            0.013711,            0.015972,           0.0063205,             0.99152,             0.99687,             0.99237,             0.97656,           0.0054444,           0.0070964,           0.0020557,            0.007723,            0.007723,            0.007723
                  25,            0.013319,             0.01573,           0.0060324,             0.99314,             0.99663,             0.99242,             0.97888,           0.0053846,            0.006903,           0.0019552,            0.007624,            0.007624,            0.007624
                  26,            0.013139,            0.015641,           0.0062752,             0.99367,             0.99696,             0.99291,             0.97635,            0.005608,            0.006956,           0.0019367,            0.007525,            0.007525,            0.007525
                  27,            0.012999,            0.015518,           0.0058204,             0.99294,             0.99393,             0.99291,             0.97845,            0.005285,           0.0068971,           0.0022087,            0.007426,            0.007426,            0.007426
                  28,            0.012985,            0.015491,           0.0057574,             0.99482,             0.99671,              0.9929,             0.97974,           0.0052164,           0.0068017,           0.0017909,            0.007327,            0.007327,            0.007327
                  29,            0.012709,            0.015342,           0.0056804,             0.99373,             0.99676,             0.99208,             0.98105,           0.0049699,           0.0066972,           0.0016996,            0.007228,            0.007228,            0.007228
                  30,            0.012435,            0.015352,           0.0056578,             0.99383,             0.99719,             0.99295,              0.9804,           0.0049886,           0.0066755,           0.0016136,            0.007129,            0.007129,            0.007129
                  31,            0.012483,            0.014947,           0.0055633,             0.99322,             0.99652,             0.99187,             0.98006,           0.0048295,           0.0066305,           0.0017042,             0.00703,             0.00703,             0.00703
                  32,            0.012413,            0.014963,           0.0053888,             0.99156,             0.99673,             0.99225,             0.98085,           0.0048212,           0.0065964,           0.0017231,            0.006931,            0.006931,            0.006931
                  33,            0.012351,             0.01496,            0.005379,             0.99445,             0.99664,             0.99296,             0.98393,           0.0046841,           0.0064621,           0.0016208,            0.006832,            0.006832,            0.006832
                  34,            0.012245,            0.014867,           0.0053964,             0.99539,             0.99714,               0.993,             0.98311,           0.0047277,            0.006549,           0.0015454,            0.006733,            0.006733,            0.006733
                  35,            0.011972,            0.014801,           0.0051245,              0.9943,             0.99615,             0.99255,             0.98365,           0.0046624,           0.0064431,           0.0016066,            0.006634,            0.006634,            0.006634
                  36,            0.011952,            0.014778,            0.005068,             0.99483,             0.99754,             0.99282,             0.98382,           0.0045913,           0.0063934,           0.0015323,            0.006535,            0.006535,            0.006535
                  37,            0.011734,             0.01473,            0.005083,              0.9949,             0.99724,             0.99288,              0.9842,           0.0044841,            0.006339,           0.0015165,            0.006436,            0.006436,            0.006436
                  38,            0.011739,            0.014778,           0.0050778,             0.99512,             0.99595,             0.99276,             0.98493,           0.0044337,           0.0063236,           0.0015251,            0.006337,            0.006337,            0.006337
                  39,            0.011585,            0.014545,           0.0049145,             0.99485,             0.99711,             0.99282,             0.98532,           0.0044043,            0.006289,           0.0014688,            0.006238,            0.006238,            0.006238
                  40,             0.01153,            0.014612,           0.0048952,             0.99399,             0.99435,             0.99243,             0.98474,           0.0043031,           0.0062709,           0.0017231,            0.006139,            0.006139,            0.006139
                  41,            0.011332,            0.014369,           0.0047905,             0.99516,             0.99697,             0.99255,             0.98518,           0.0043256,           0.0062617,           0.0014469,             0.00604,             0.00604,             0.00604
